,data_ini_intervalo,data_fim_intervalo,tipo_intervalo,duracao
0,2000-01-01,2000-07-07,Out_of_Sample,135
1,2000-07-08,2004-11-03,Out_of_Sample,1128
2,2004-11-04,2006-09-19,Out_of_Sample,489
3,2006-09-20,2008-04-09,In_Sample,406
4,2008-04-10,2008-05-13,Out_of_Sample,24
5,2008-05-14,2008-07-15,Out_of_Sample,45
6,2008-07-16,2008-08-13,Out_of_Sample,21
7,2008-08-14,2009-12-24,In_Sample,356
8,2009-12-25,2010-07-20,Out_of_Sample,148
9,2010-07-21,2011-04-21,Out_of_Sample,197
10,2011-04-22,2011-04-26,Out_of_Sample,3
11,2011-04-27,2011-09-02,In_Sample,93
12,2011-09-03,2016-07-04,Out_of_Sample,1261
13,2016-07-05,2017-09-21,In_Sample,318
14,2017-09-22,2018-02-28,In_Sample,114
15,2018-03-01,2018-08-20,In_Sample,123
16,2018-08-21,2020-07-29,In_Sample,507
17,2020-07-30,2020-09-01,Out_of_Sample,24
18,2020-09-02,2024-03-11,Out_of_Sample,919
19,2024-03-12,2024-11-01,In_Sample,169
