Ativo;Cenario;Retorno_Anual_Medio;Volatilidade_Anual;Sharpe_Ratio
CSCO;in_sample_1_1x;-3,995254382;56,60942504;-0,070575781
MSFT;in_sample_1_1x;-6,231652717;38,43860287;-0,162119647
PHM;in_sample_1_1x;58,77428958;42,99815322;1,36690265
MAR;in_sample_1_1x;21,71321265;33,06773675;0,656628327
YUM;in_sample_1_1x;26,91480022;34,1067489;0,789134148
COST;in_sample_1_1x;7,890436617;39,28731399;0,200839299
HSY;in_sample_1_1x;22,51848688;25,636312;0,878382463
K;in_sample_1_1x;12,26165049;28,46629831;0,43074271
HES;in_sample_1_1x;20,62940647;29,54990838;0,698120827
BSX;in_sample_1_1x;27,64848377;42,0138644;0,658079997
CI;in_sample_1_1x;15,60478953;38,70320329;0,403191163
CVS;in_sample_1_1x;15,59525138;36,66764437;0,425313697
BA;in_sample_1_1x;16,1915204;34,53001888;0,468911426
GE;in_sample_1_1x;-1,609424575;32,4650425;-0,049574079
WM;in_sample_1_1x;14,47835184;32,88393203;0,440286515
ADBE;in_sample_1_1x;32,97262885;62,85946171;0,524545199
AAPL;in_sample_1_1x;29,98957133;56,40592225;0,53167416
HPQ;in_sample_1_1x;-2,067498482;48,96016756;-0,042228174
VMC;in_sample_1_1x;14,14488624;26,66849372;0,530396894
NEM;in_sample_1_1x;19,60964165;42,08113046;0,465996076
AEP;in_sample_1_1x;8,55563604;32,84405673;0,26049267
NEE;in_sample_1_1x;16,12721508;23,45034621;0,687717569
CMI;in_sample_1_1x;19,63060672;39,26690163;0,49992757
AFL;in_sample_1_1x;18,43330963;31,98106506;0,576381981
JNJ;in_sample_1_1x;9,373379192;24,57754585;0,381379787
AIG;in_sample_1_1x;2,772348311;31,31588967;0,088528486
LLY;in_sample_1_1x;1,53192705;32,63469268;0,046941672
NOC;in_sample_1_1x;19,1792602;29,2352282;0,656032512
AES;in_sample_1_1x;19,20107416;79,94861556;0,240167688
BEN;in_sample_1_1x;24,26316848;31,93795584;0,759696976
BAC;in_sample_1_1x;16,13137196;29,67376405;0,543624056
CL;in_sample_1_1x;1,08314986;28,41089569;0,038124453
COF;in_sample_1_1x;26,89272295;49,89209535;0,539017709
